ACCESSION_NUMBER	CIK	REGISTRANT_NAME	FILE_NUM	LEI	ADDRESS1	ADDRESS2	CITY	STATE	COUNTRY	ZIP	PHONE
0002071691-26-003963	0001022804	Franklin Fund Allocator Series	811-07851	5493009BPYLDNZHEMO31	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0002071691-26-003967	0000825063	Franklin Mutual Series Funds	811-05387	549300DW3N5FG4OTT022	101 John F. Kennedy Parkway		Short Hills	US-NJ	US	07078-2791	973-912-2000
0002071691-26-003961	0000038721	Franklin Custodian Funds	811-00537	549300PYEMTLTOE2MK86	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0002071691-26-003968	0000038721	Franklin Custodian Funds	811-00537	549300PYEMTLTOE2MK86	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0002071691-26-003969	0000825063	Franklin Mutual Series Funds	811-05387	549300DW3N5FG4OTT022	101 John F. Kennedy Parkway		Short Hills	US-NJ	US	07078-2791	973-912-2000
0002071691-26-003981	0000837274	Franklin Templeton Variable Insurance Products Trust	811-05583	549300PIBKZH7YTTWU55	One Franklin Parkway		San Mateo	US-CA	US	94403-1906	650-312-2000
0002071691-26-003965	0000909112	Templeton Emerging Markets Income Fund	811-07866	HM42X4Y58XQ0M2JYZW07	300 S.E. 2nd Street		Fort Lauderdale	US-FL	US	33301-1923	954-527-7500
0002071691-26-003986	0000865177	Putnam Sustainable Leaders Fund	811-06128	DDMFQBZJICNCDITG4018	100 Federal Street		Boston	US-MA	US	02110	617-292-1000
0000940400-26-007523	0001221845	BlackRock Allocation Target Shares	811-21457	549300R5YFYF3PL2MC94	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0000940400-26-007520	0001398078	BlackRock Funds II	811-22061	549300D3TWJFD5S1P721	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0000940400-26-007522	0001221845	BlackRock Allocation Target Shares	811-21457	549300R5YFYF3PL2MC94	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0002071691-26-004224	0000355916	BlackRock Variable Series Funds, Inc.	811-03290	5493007IJN5JRPJ1DF61	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0000940400-26-007519	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
