ACCESSION_NUMBER	ISSUER_NAME	BALANCE	CURRENCY_VALUE	PERCENTAGE	INVESTMENT_COUNTRY	ISSUER_LEI
0001193125-26-029054	VAXC-TQ0C.AF	204.0	16.33	1.0423e-06	US	
0001193125-26-029054	9SOO-N36N.AF	225.0	227.62	1.45281e-05	US	
0001193125-26-029054	J6KA-PVH4.AF	30.0	29.63	1.8912e-06	US	
0001193125-26-029054	8LIN-GN26.AF	150.0	12.02	7.672e-07	US	
0001193125-26-029054	R8TG-AC27.AF	32.0	2.58	1.647e-07	US	
0001193125-26-029054	MOER-DC42.AF	132.0	133.9	8.5463e-06	US	
0001193125-26-029054	PQHY-ZYPN.AF	44.0	44.42	2.8352e-06	US	
0001193125-26-029054	UOIH-DTIW.AF	117.0	118.91	7.5896e-06	US	
0001193125-26-029054	RW9M-GY0X.AF	94.0	7.56	4.825e-07	US	
0001193125-26-029054	6NXR-0L8M.AF	169.0	13.48	8.604e-07	US	
0001193125-26-029054	UIJR-SINQ.AF	376.0	30.1	1.9212e-06	US	
0001193125-26-029054	KQZN-I3AH.AF	427.0	34.14	2.179e-06	US	
0001193125-26-029054	86UY-L07C.AF	229.0	18.33	1.1699e-06	US	
0001193125-26-029054	D7QG-3LKW.AF	167.0	13.32	8.502e-07	US	
0001193125-26-029054	RMKH-8176.AF	69.0	5.54	3.536e-07	US	
0001193125-26-029054	2PF9-WN5F.AF	57.0	57.25	3.654e-06	US	
0001193125-26-029054	8ODJ-3A9Y.AF	112.0	113.09	7.2181e-06	US	
0001193125-26-029054	8TK5-MWQ7.AF	147.0	11.76	7.506e-07	US	
0001193125-26-029054	EY9E-8OEV.AF	14.0	13.9	8.872e-07	US	
0001193125-26-029054	AU2W-C0A2.AF	535.0	42.81	2.7324e-06	US	
0001193125-26-029054	OQST-N9P9.AF	749.0	760.44	4.85359e-05	US	
0001193125-26-029054	1FOC-VVZO.AF	41.0	3.29	2.1e-07	US	
0001193125-26-029054	XDL4-F7KX.AF	44.0	44.18	2.8198e-06	US	
0001193125-26-029054	1X7V-97CX.AF	276.0	22.11	1.4112e-06	US	
0001193125-26-029054	1DKC-OR26.AF	348.0	24.1	1.5382e-06	US	
0001193125-26-029054	J1WI-ZDN0.AF	151.0	148.94	9.5063e-06	US	
0001193125-26-029054	4PBJ-7DC6.AF	566.0	573.31	3.65921e-05	US	
0001193125-26-029054	J6NL-HCC1.AF	192.0	15.38	9.816e-07	US	
0001193125-26-029054	88VE-UV4F.AF	266.0	273.25	1.74405e-05	US	
0001193125-26-029054	QDQ4-N4PT.AF	102.0	8.17	5.215e-07	US	
0001193125-26-029054	M6O4-AHWG.AF	228.0	232.27	1.48249e-05	US	
0001193125-26-029054	RVXB-ZZEV.AF	61.0	4.92	3.14e-07	US	
0001193125-26-029054	LWCF-1LG0.AF	357.0	28.53	1.821e-06	US	
0001193125-26-029054	A4SU-0CGD.AF	7.0	7.11	4.538e-07	US	
0001193125-26-029054	XZMD-WZOF.AF	37.0	37.56	2.3973e-06	US	
0001193125-26-029054	5AP6-GFCP.AF	55.0	55.16	3.5206e-06	US	
0001193125-26-029054	NDDL-T53U.AF	123.0	9.87	6.3e-07	US	
0001193125-26-029054	MD75-TXIE.AF	2501.0	2592.75	0.000165485	US	
0001193125-26-029054	UXKV-6Y8U.AF	75.0	74.75	4.771e-06	US	
0001193125-26-029054	GPA5-FC91.AF	734.0	58.69	3.746e-06	US	
0001193125-26-029054	TTFK-089D.AF	20.0	20.16	1.2867e-06	US	
0001193125-26-029054	14R6-HZN3.AF	348.0	352.38	2.2491e-05	US	
0001193125-26-029054	HTVK-8A22.AF	142.0	11.32	7.225e-07	US	
0001193125-26-029054	VR3K-WCHE.AF	161.0	12.89	8.227e-07	US	
0001193125-26-029054	E5AQ-558R.AF	16.0	16.0	1.0212e-06	US	
0001193125-26-029054	WCDN-RNII.AF	2170.0	2239.99	0.0001429697	US	
0001193125-26-029054	OE2B-WT42.AF	12.0	11.9	7.595e-07	US	
0001193125-26-029054	QNEV-FR7B.AF	45.0	3.56	2.272e-07	US	
0001193125-26-029054	OZQC-2D59.AF	13.0	1.05	6.7e-08	US	
0001193125-26-029054	J8NU-QNCQ.AF	150.0	12.01	7.666e-07	US	
0001193125-26-029054	8DCN-TFKT.AF	84.0	84.24	5.3767e-06	US	
0001193125-26-029054	AW55-HK2C.AF	9.0	8.87	5.661e-07	US	
0001193125-26-029054	HZJ6-PPU6.AF	363.0	373.43	2.38346e-05	US	
0001193125-26-029054	80O5-VO0H.AF	1531.0	122.48	7.8174e-06	US	
0001193125-26-029054	H2N5-3A3Y.AF	95.0	95.18	6.075e-06	US	
0001193125-26-029054	RUT9-47D0.AF	33.0	33.09	2.112e-06	US	
0001193125-26-029054	JYYP-YWYA.AF	14.0	14.4	9.191e-07	US	
0001193125-26-029054	OQBE-BYRI.AF	51.0	51.01	3.2558e-06	US	
